protein,Biological_regulation,Regulation_of_biological_process,Regulation_of_cellular_process,Cellular_process,Response_to_stimulus,Negative_regulation_of_biological_process,Metabolic_process,Organic_substance_metabolic_process,Regulation_of_metabolic_process,Negative_regulation_of_cellular_process,FC
A1BG,0,0,0,1,1,0,0,0,0,0,0.12444098345405585
AMBP,1,1,1,1,0,1,1,1,1,1,0.10119979084901765
APOA,1,1,1,1,0,1,1,1,1,1,-0.06245773789315656
APOC2,1,1,1,1,1,1,1,1,1,1,0.21509542661350167
APOD,1,1,1,1,1,1,1,1,1,1,-0.14073579567777195
APOH,1,1,1,1,1,1,1,1,0,1,0.10753421091756898
CD99,1,1,1,1,0,0,0,0,0,0,-0.0594914146738148
CDC42,1,1,1,1,1,1,1,1,1,1,-0.18069797595405568
CFAB,1,1,0,0,1,0,1,1,0,0,-0.4472168629331037
CO2,1,1,1,0,1,0,1,1,0,0,-0.04495543848662997
CO3,0,0,0,1,0,0,1,0,0,0,-0.053067787687680834
CRP,1,1,1,1,1,1,0,0,1,1,-0.11458042257257173
DDAH1,1,1,1,1,1,1,1,1,1,1,-0.05279236204024329
IL1A,1,1,1,1,1,1,0,0,1,1,-0.14991523571666932
IL1R2,1,1,1,1,1,1,0,0,1,1,-0.32631670644613653
ILF2,1,1,1,1,1,0,1,1,1,0,-0.09514323047719131
ITIH2,1,1,1,1,0,1,1,1,1,1,0.04935090593806635
KLKB1,1,1,1,1,1,1,1,1,1,0,0.10763675470307987
KNG1,1,1,1,1,1,1,1,1,1,1,0.07166638465790776
LBP,1,1,1,1,1,1,0,0,1,0,-0.11039067249492263
TAGL,1,1,1,1,1,1,1,1,1,1,-0.07070974415240183
THRB,1,1,1,1,1,1,1,1,1,1,0.036658353465938376
VASN,1,1,1,1,1,1,0,0,0,1,-0.037015522644198384
WFDC2,1,1,1,0,1,1,1,1,1,1,-0.12267109323713754
ZA2G,1,1,1,1,1,1,1,1,0,1,-0.14783437865163762
